;index;cycle;step;sub_step;point_avr;point_std;point_min;point_max;point_first;point_last;point_delta;test_time_avr;test_time_std;test_time_min;test_time_max;test_time_first;test_time_last;test_time_delta;step_time_avr;step_time_std;step_time_min;step_time_max;step_time_first;step_time_last;step_time_delta;current_avr;current_std;current_min;current_max;current_first;current_last;current_delta;voltage_avr;voltage_std;voltage_min;voltage_max;voltage_first;voltage_last;voltage_delta;charge_avr;charge_std;charge_min;charge_max;charge_first;charge_last;charge_delta;discharge_avr;discharge_std;discharge_min;discharge_max;discharge_first;discharge_last;discharge_delta;ir_avr;ir_std;ir_min;ir_max;ir_first;ir_last;ir_delta;rate_avr;type;sub_type;info
0;0;1;1;1;72.5;41.71330722922842;1;144;1;144;14300.0;21750.920599161138;12514.518636500106;300.00123970431366;43200.06314106374;300.00123970431366;43200.06314106374;14299.961541373119;21750.870615427528;12514.518636500075;299.9512558601084;43200.01315721954;299.9512558601084;43200.01315721954;14302.344485387724;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.9971301373508243;0.01120083777252299;2.9754457473754883;3.0114221572875977;2.9929726123809814;2.9754457473754883;-0.5856005809405026;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;rest;;
1;1;1;2;1;145.0;;145;145;145;145;0.0;43200.0774969385;;43200.0774969385;43200.0774969385;43200.0774969385;43200.0774969385;0.0;0.015576820106219;;0.015576820106219;0.015576820106219;0.015576820106219;0.015576820106219;0.0;8.549900343268746e-08;;8.549900343268746e-08;8.549900343268746e-08;8.549900343268746e-08;8.549900343268746e-08;0.0;2.97575306892395;;2.97575306892395;2.97575306892395;2.97575306892395;2.97575306892395;0.0;3.7e-13;;3.7e-13;3.7e-13;3.7e-13;3.7e-13;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;58.47431182861328;;58.47431182861328;58.47431182861328;58.47431182861328;58.47431182861328;0.0;9e-05;ir;;
2;2;1;3;1;598.5;261.6839697039159;146;1051;146;1051;619.8630136986301;57177.13014011574;17428.93006414353;43200.09212351224;97680.55575925494;43200.09212351224;97680.55575925494;126.11191540976131;13977.053341209572;17428.930064147815;0.015324490838112;54480.478960233544;0.015324490838112;54480.478960233544;355512390.01200503;-4.429687468499376e-05;5.668936125933704e-09;-4.430959597812034e-05;-4.4279146095504984e-05;-4.4279146095504984e-05;-4.43019816884771e-05;-0.0515718910271236;0.8957583646621005;0.8773802835871087;0.04997856169939041;2.9542288780212402;2.9542288780212402;0.04997856169939041;-98.30823664099897;3.7e-13;0.0;3.7e-13;3.7e-13;3.7e-13;3.7e-13;0.0;0.0001719799775757417;0.00021445415974721986;1.88431e-10;0.00067035821765;1.88431e-10;0.00067035821765;355757826.0578143;58.47431182861328;0.0;58.47431182861328;58.47431182861328;58.47431182861328;58.47431182861328;0.0;0.04915;discharge;;
3;3;1;4;1;1052.0;;1052;1052;1052;1052;0.0;97680.56780751435;;97680.56780751435;97680.56780751435;97680.56780751435;97680.56780751435;0.0;0.015114983227005;;0.015114983227005;0.015114983227005;0.015114983227005;0.015114983227005;0.0;-4.429817636264488e-05;;-4.429817636264488e-05;-4.429817636264488e-05;-4.429817636264488e-05;-4.429817636264488e-05;0.0;0.0505935437977314;;0.0505935437977314;0.0505935437977314;0.0505935437977314;0.0505935437977314;0.0;3.7e-13;;3.7e-13;3.7e-13;3.7e-13;3.7e-13;0.0;0.000670358403641;;0.000670358403641;0.000670358403641;0.000670358403641;0.000670358403641;0.0;55.77235412597656;;55.77235412597656;55.77235412597656;55.77235412597656;55.77235412597656;0.0;0.04915;ir;;
4;4;1;5;1;1069.0;9.669539802906858;1053;1085;1053;1085;3.038936372269706;98559.0744896162;572.6277157972263;97680.58011934505;99480.56631272269;97680.58011934505;99480.56631272269;1.8427267642948455;878.5098056071577;572.6277157378362;0.015435260909525;1800.001628638558;0.015435260909525;1800.001628638558;11661521.006534388;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08301052349534901;0.008392171327056362;0.056128375232219696;0.08995235711336136;0.056128375232219696;0.08995235711336136;60.261822547333395;3.7e-13;0.0;3.7e-13;3.7e-13;3.7e-13;3.7e-13;0.0;0.000670358403641;0.0;0.000670358403641;0.000670358403641;0.000670358403641;0.000670358403641;0.0;55.77235412597656;0.0;55.77235412597656;55.77235412597656;55.77235412597656;55.77235412597656;0.0;0.0;ocvrlx_up;;
5;5;1;6;1;1292.5;119.6557562342907;1086;1499;1086;1499;38.02946593001842;123620.42493994714;14095.842301175497;99480.58544441545;145326.59543672527;99480.58544441545;145326.59543672527;46.08538418576775;24139.85533151197;14095.84230117407;0.015835873436169;45846.02582818323;0.015835873436169;45846.02582818323;289507302.3733437;4.430744078323573e-05;2.604615444204855e-09;4.429789987625554e-05;4.431693014339544e-05;4.4313121179584414e-05;4.4309315853752196e-05;-0.008587356816497709;0.4520918023255136;0.21029541462433476;0.09548719227313995;1.0001250505447388;0.09548719227313995;1.0001250505447388;947.3918299785098;0.00029710077770637197;0.00017348525753308714;9.8013e-11;0.000564251033641;9.8013e-11;0.000564251033641;575689893.8181671;0.000670358403641;0.0;0.000670358403641;0.000670358403641;0.000670358403641;0.000670358403641;0.0;55.77235412597656;0.0;55.77235412597656;55.77235412597656;55.77235412597656;55.77235412597656;0.0;0.04916;charge;;
6;6;1;7;1;1500.0;;1500;1500;1500;1500;0.0;145326.6044504615;;145326.6044504615;145326.6044504615;145326.6044504615;145326.6044504615;0.0;0.015611148211417;;0.015611148211417;0.015611148211417;0.015611148211417;0.015611148211417;0.0;5.570000016774657e-09;;5.570000016774657e-09;5.570000016774657e-09;5.570000016774657e-09;5.570000016774657e-09;0.0;0.9976651072502136;;0.9976651072502136;0.9976651072502136;0.9976651072502136;0.9976651072502136;0.0;0.000564251033665;;0.000564251033665;0.000564251033665;0.000564251033665;0.000564251033665;0.0;0.000670358403641;;0.000670358403641;0.000670358403641;0.000670358403641;0.000670358403641;0.0;27.863733291625977;;27.863733291625977;27.863733291625977;27.863733291625977;27.863733291625977;0.0;1e-05;ir;;
7;7;1;8;1;1512.5;7.0710678118654755;1501;1524;1501;1524;1.5323117921385743;145662.95213254806;305.6571707181047;145329.01598701152;146226.6067241563;145329.01598701152;146226.6067241563;0.6176266529080492;336.35411863238716;305.6571707468714;2.417972992628659;900.0087104912707;2.417972992628659;900.0087104912707;37121.619647324565;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9372687662641207;0.030584586954642085;0.8980380892753601;0.9924377202987671;0.9924377202987671;0.8980380892753601;-9.51189471063117;0.000564251033665;0.0;0.000564251033665;0.000564251033665;0.000564251033665;0.000564251033665;0.0;0.0006703584036409999;0.0;0.000670358403641;0.000670358403641;0.000670358403641;0.000670358403641;0.0;27.863733291625977;0.0;27.863733291625977;27.863733291625977;27.863733291625977;27.863733291625977;0.0;0.0;ocvrlx_down;;
8;8;2;3;1;1759.0;135.53289883517826;1525;1993;1525;1993;30.688524590163933;165840.6759371075;15037.532615409438;146227.59025739107;192989.06364160785;146227.59025739107;192989.06364160785;31.97855705746558;19614.05287208681;15037.53261542154;0.967192240574193;46762.44057645737;0.967192240574193;46762.44057645737;4834765.150354795;-4.4297283878790707e-05;2.4003479953958354e-09;-4.4305790652288124e-05;-4.4290565710980445e-05;-4.429437103681266e-05;-4.429817636264488e-05;-0.00859099190968387;0.2792545542565744;0.21184117361951801;0.04997856169939041;0.8925032615661621;0.8925032615661621;0.04997856169939041;-94.40018161819508;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00024134511845422602;0.00018503288824604357;1.190049e-08;0.000575399280988;1.190049e-08;0.000575399280988;4834988.983630085;27.863733291625977;0.0;27.863733291625977;27.863733291625977;27.863733291625977;27.863733291625977;0.0;0.04915;discharge;;
9;9;2;4;1;1994.0;;1994;1994;1994;1994;0.0;192989.0933279238;;192989.0933279238;192989.0933279238;192989.0933279238;192989.0933279238;0.0;0.031684133302049;;0.031684133302049;0.031684133302049;0.031684133302049;0.031684133302049;0.0;5.570000016774657e-09;;5.570000016774657e-09;5.570000016774657e-09;5.570000016774657e-09;5.570000016774657e-09;0.0;0.05520590394735336;;0.05520590394735336;0.05520590394735336;0.05520590394735336;0.05520590394735336;0.0;4.9e-14;;4.9e-14;4.9e-14;4.9e-14;4.9e-14;0.0;0.000575399280988;;0.000575399280988;0.000575399280988;0.000575399280988;0.000575399280988;0.0;49.12309646606445;;49.12309646606445;49.12309646606445;49.12309646606445;49.12309646606445;0.0;1e-05;ir;;
10;10;2;5;1;2010.5;9.38083151964686;1995;2026;1995;2026;1.5538847117794485;193887.75770602204;559.1699866862323;192996.92209645;194789.1084424992;192996.92209645;194789.1084424992;0.9286087708453425;898.6666877788938;559.169986646629;7.831078472278994;1800.0174241676232;7.831078472278994;1800.0174241676232;22885.562340352637;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08322599995881319;0.007101660630196058;0.060433246195316315;0.08964487165212631;0.060433246195316315;0.08902988582849503;47.31938367294756;4.9e-14;0.0;4.9e-14;4.9e-14;4.9e-14;4.9e-14;0.0;0.000575399280988;0.0;0.000575399280988;0.000575399280988;0.000575399280988;0.000575399280988;0.0;49.12309646606445;0.0;49.12309646606445;49.12309646606445;49.12309646606445;49.12309646606445;0.0;0.0;ocvrlx_up;;
11;11;2;6;1;2233.0;119.36708088916308;2027;2439;2027;2439;20.32560434139122;218887.4639821733;14065.576268380866;194789.1674171858;240604.31238795913;194789.1674171858;240604.31238795913;23.520376198666977;24098.35894599612;14065.576268368704;0.062380891207157;45815.20735166454;0.062380891207157;45815.20735166454;73444197.54861876;4.430799828881745e-05;2.5943279453188603e-09;4.430170520208776e-05;4.432073546922766e-05;4.4309315853752196e-05;4.430551052791998e-05;-0.008588094306799571;0.450832597929398;0.2100153158144973;0.09425722807645798;1.0001250505447388;0.09425722807645798;1.0001250505447388;961.059264052911;0.00029659314627280387;0.0001731145088263384;7.67809e-10;0.000563877907407;7.67809e-10;0.000563877907407;73439766.86884369;0.000575399280988;0.0;0.000575399280988;0.000575399280988;0.000575399280988;0.000575399280988;0.0;49.12309646606445;0.0;49.12309646606445;49.12309646606445;49.12309646606445;49.12309646606445;0.0;0.04916;charge;;
12;12;2;8;1;2452.0;7.359800721939872;2440;2464;2440;2464;0.9836065573770492;240943.1221641491;313.9888681889522;240604.95369807392;241504.3227584712;240604.95369807392;241504.3227584712;0.3737949059543674;338.82366944795103;313.9888681635392;0.655203556816376;900.0242639541094;0.655203556816376;900.0242639541094;137265.59494995928;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9371877980232238;0.032037098879172415;0.8968080878257751;0.9948976635932922;0.9948976635932922;0.8968080878257751;-9.859262852547564;0.000563877907407;0.0;0.000563877907407;0.000563877907407;0.000563877907407;0.000563877907407;0.0;0.000575399280988;0.0;0.000575399280988;0.000575399280988;0.000575399280988;0.000575399280988;0.0;30.514915466308594;0.0;30.514915466308594;30.514915466308594;30.514915466308594;30.514915466308594;0.0;0.0;ocvrlx_down;;
13;13;3;3;1;2697.5;134.66687293713576;2465;2930;2465;2930;18.864097363083165;260961.74704328817;14932.133850584492;241505.10344339337;287906.9993074937;241505.10344339337;287906.9993074937;19.213629526871053;19457.392382687325;14932.133850585184;0.748783033280921;46402.644647133624;0.748783033280921;46402.644647133624;6196974.7979975585;-4.4297719195179335e-05;3.042935665623137e-09;-4.430959597812034e-05;-4.4290565710980445e-05;-4.43019816884771e-05;-4.43019816884771e-05;0.0;0.2800661099778864;0.2116046643196968;0.04997856169939041;0.8915807604789734;0.8915807604789734;0.04997856169939041;-94.39438759619027;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0002394186165437253;0.00018373668407401737;9.212939e-09;0.000570974941418;9.212939e-09;0.000570974941418;6197433.071889437;30.514915466308594;0.0;30.514915466308594;30.514915466308594;30.514915466308594;30.514915466308594;0.0;0.04915;discharge;;
14;14;3;4;1;2931.0;;2931;2931;2931;2931;0.0;287907.0430785712;;287907.0430785712;287907.0430785712;287907.0430785712;287907.0430785712;0.0;0.031195400175463;;0.031195400175463;0.031195400175463;0.031195400175463;0.031195400175463;0.0;1.7629999682355901e-09;;1.7629999682355901e-09;1.7629999682355901e-09;1.7629999682355901e-09;1.7629999682355901e-09;0.0;0.05428343266248703;;0.05428343266248703;0.05428343266248703;0.05428343266248703;0.05428343266248703;0.0;1.5e-14;;1.5e-14;1.5e-14;1.5e-14;1.5e-14;0.0;0.000570974941418;;0.000570974941418;0.000570974941418;0.000570974941418;0.000570974941418;0.0;45.1297607421875;;45.1297607421875;45.1297607421875;45.1297607421875;45.1297607421875;0.0;0.0;ir;;
15;15;3;5;1;2947.5;9.38083151964686;2932;2963;2932;2963;1.0572987721691678;288799.53212329064;559.0996585787788;287912.5315968895;289707.0578938106;287912.5315968895;289707.0578938106;0.6232887075001219;892.4760963582836;559.0996585798565;5.475569890783541;1800.0018668119064;5.475569890783541;1800.0018668119064;32773.324653232215;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08293772721663117;0.007329781422283663;0.05951077491044998;0.08902988582849503;0.05951077491044998;0.08902988582849503;49.60296847497703;1.5e-14;0.0;1.5e-14;1.5e-14;1.5e-14;1.5e-14;0.0;0.000570974941418;0.0;0.000570974941418;0.000570974941418;0.000570974941418;0.000570974941418;0.0;45.1297607421875;0.0;45.1297607421875;45.1297607421875;45.1297607421875;45.1297607421875;0.0;0.0;ocvrlx_up;;
16;16;3;6;1;3170.0;119.36708088916308;2964;3376;2964;3376;13.900134952766532;313810.93029483187;14059.780531749244;289707.4124223539;335453.2993636242;289707.4124223539;335453.2993636242;15.790375040380047;24103.861052079486;14059.780531758774;0.343179483259386;45746.230120753535;0.343179483259386;45746.230120753535;13330018.014711583;4.430819176234413e-05;2.3262102675709045e-09;4.430170520208776e-05;4.4313121179584414e-05;4.4309315853752196e-05;4.4309315853752196e-05;0.0;0.452052137176292;0.21165627686809427;0.09425722807645798;1.0001250505447388;0.09425722807645798;1.0001250505447388;961.059264052911;0.00029666294407335595;0.0001730435174341543;4.224082e-09;0.000563030798341;4.224082e-09;0.000563030798341;13328968.856641514;0.000570974941418;0.0;0.000570974941418;0.000570974941418;0.000570974941418;0.000570974941418;0.0;45.1297607421875;0.0;45.1297607421875;45.1297607421875;45.1297607421875;45.1297607421875;0.0;0.04916;charge;;
17;17;3;7;1;3377.0;;3377;3377;3377;3377;0.0;335453.3241683611;;335453.3241683611;335453.3241683611;335453.3241683611;335453.3241683611;0.0;0.024501419661794;;0.024501419661794;0.024501419661794;0.024501419661794;0.024501419661794;0.0;1.698800033977932e-08;;1.698800033977932e-08;1.698800033977932e-08;1.698800033977932e-08;1.698800033977932e-08;0.0;0.9979725480079651;;0.9979725480079651;0.9979725480079651;0.9979725480079651;0.9979725480079651;0.0;0.000563030798457;;0.000563030798457;0.000563030798457;0.000563030798457;0.000563030798457;0.0;0.000570974941418;;0.000570974941418;0.000570974941418;0.000570974941418;0.000570974941418;0.0;30.516921997070312;;30.516921997070312;30.516921997070312;30.516921997070312;30.516921997070312;0.0;2e-05;ir;;
