;index;cycle;step;sub_step;point_avr;point_std;point_min;point_max;point_first;point_last;point_delta;test_time_avr;test_time_std;test_time_min;test_time_max;test_time_first;test_time_last;test_time_delta;step_time_avr;step_time_std;step_time_min;step_time_max;step_time_first;step_time_last;step_time_delta;current_avr;current_std;current_min;current_max;current_first;current_last;current_delta;voltage_avr;voltage_std;voltage_min;voltage_max;voltage_first;voltage_last;voltage_delta;charge_avr;charge_std;charge_min;charge_max;charge_first;charge_last;charge_delta;discharge_avr;discharge_std;discharge_min;discharge_max;discharge_first;discharge_last;discharge_delta;ir_avr;ir_std;ir_min;ir_max;ir_first;ir_last;ir_delta;rate_avr;type;sub_type;info
0;0;1;1;1;2157.5;1245.4888598458037;1;4314;1;4314;431300.0;10803.807720743602;6236.8503214705215;5.008961496918932;21600.006643087385;5.008961496918932;21600.006643087385;431127.244537092;10803.807720864523;6236.850321472619;5.008961496918932;21600.006643087385;5.008961496918932;21600.006643087385;431127.244537092;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0458179821170033;0.002234872686330129;3.0425662994384766;3.0514724254608154;3.0511653423309326;3.0428733825683594;-0.2717636978741576;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;rest;;
1;1;1;2;1;4315.0;;4315;4315;4315;4315;0.0;21600.029284247645;;21600.029284247645;21600.029284247645;21600.029284247645;21600.029284247645;0.0;0.015612724037423;;0.015612724037423;0.015612724037423;0.015612724037423;0.015612724037423;0.0;-2.109492925228551e-06;;-2.109492925228551e-06;-2.109492925228551e-06;-2.109492925228551e-06;-2.109492925228551e-06;0.0;3.0425662994384766;;3.0425662994384766;3.0425662994384766;3.0425662994384766;3.0425662994384766;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;1.0672e-11;;1.0672e-11;1.0672e-11;1.0672e-11;1.0672e-11;0.0;6.650722980499268;;6.650722980499268;6.650722980499268;6.650722980499268;6.650722980499268;0.0;2.10949;ir;;
2;2;1;3;1;4645.5;190.66987176793296;4316;4975;4316;4975;15.268767377201112;56091.67730005172;22490.08763815242;21600.091272747908;95365.57248588021;21600.091272747908;95365.57248588021;341.5054144062793;34491.6484655764;22490.087638150464;0.062438509592857;73765.54365164188;0.062438509592857;73765.54365164188;118141002.55456948;0.00018083741385701367;2.2494095535161584e-07;0.00018021889263764024;0.00018162412743549794;0.00018021889263764024;0.0001812728150980547;0.5848013185463047;3.7467325326168175;0.2620055619077913;3.0480942726135254;4.200051784515381;3.0480942726135254;4.200051784515381;37.79271272059881;0.001732467836552494;0.001129619624430944;3.124961e-09;0.003705071051218;3.124961e-09;0.003705071051218;118563653.31461738;1.0672e-11;0.0;1.0672e-11;1.0672e-11;1.0672e-11;1.0672e-11;0.0;6.650722980499268;0.0;6.650722980499268;6.650722980499268;6.650722980499268;6.650722980499268;0.0;180.83741;charge;;
3;3;1;4;1;5023.0;27.568097504180443;4976;5070;4976;5070;1.8890675241157557;98218.25421793312;1653.796211841653;95398.03285719479;101003.87128765525;95398.03285719479;101003.87128765525;5.876262080636467;2852.684676502996;1653.796211826105;32.463315973279016;5638.301746079832;32.463315973279016;5638.301746079832;17268.224954963913;7.246127015126771e-05;2.3826974002705564e-09;7.245478627737612e-05;7.246612221933901e-05;7.245478627737612e-05;7.246612221933901e-05;0.015645539163556137;4.1927202576085145;0.0030580126347050525;4.189303398132324;4.200051784515381;4.194831371307373;4.200051784515381;0.12444870236537789;0.0037624901803354526;3.3287798404037004e-05;0.003705724479998;0.003818559567023;0.003705724479998;0.003818559567023;3.0448860306274272;1.0671999999999998e-11;0.0;1.0672e-11;1.0672e-11;1.0672e-11;1.0672e-11;0.0;6.650722980499268;0.0;6.650722980499268;6.650722980499268;6.650722980499268;6.650722980499268;0.0;72.46127;charge;;
4;4;1;5;1;5071.0;;5071;5071;5071;5071;0.0;101003.88724466012;;101003.88724466012;101003.88724466012;101003.88724466012;101003.88724466012;0.0;0.01560139918546;;0.01560139918546;0.01560139918546;0.01560139918546;0.01560139918546;0.0;3.4965700024258695e-07;;3.4965700024258695e-07;3.4965700024258695e-07;3.4965700024258695e-07;3.4965700024258695e-07;0.0;4.198209285736084;;4.198209285736084;4.198209285736084;4.198209285736084;4.198209285736084;0.0;0.003818559568538;;0.003818559568538;0.003818559568538;0.003818559568538;0.003818559568538;0.0;1.0672e-11;;1.0672e-11;1.0672e-11;1.0672e-11;1.0672e-11;0.0;8.664472579956055;;8.664472579956055;8.664472579956055;8.664472579956055;8.664472579956055;0.0;0.34966;ir;;
5;5;1;6;1;5086.5;8.803408430829505;5072;5101;5072;5101;0.5717665615141956;101934.06537425144;528.2887105127086;101063.9005932552;102803.89265205666;101063.9005932552;102803.89265205666;1.7216751467017772;930.177423565507;528.2887105639921;60.01264242770851;1800.0047012291714;60.01264242770851;1800.0047012291714;2899.375845510327;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.187563037872314;0.004047250797458489;4.181625843048096;4.1957526206970215;4.1957526206970215;4.181625843048096;-0.33669233927759457;0.003818559568538;0.0;0.003818559568538;0.003818559568538;0.003818559568538;0.003818559568538;0.0;1.0672e-11;0.0;1.0672e-11;1.0672e-11;1.0672e-11;1.0672e-11;0.0;8.664472579956055;0.0;8.664472579956055;8.664472579956055;8.664472579956055;8.664472579956055;0.0;0.0;rest;;
6;6;1;7;1;5370.5;155.45149297020814;5102;5639;5102;5639;10.525284202273617;134933.0859344894;18624.174025743952;102809.51266437068;166228.59017838165;102809.51266437068;166228.59017838165;61.68600149000539;32129.18922362622;18624.174025751567;5.615953389740533;63424.693467400706;5.615953389740533;63424.693467400706;1129266.4506416253;-0.00018047163952475233;2.2829177917895652e-07;-0.00018127611838281155;-0.00017987088358495384;-0.00018092480604536831;-0.0001805735082598403;0.19416783867653475;3.6253141076148223;0.27312137032164224;2.999878406524658;4.17640495300293;4.17640495300293;2.999878406524658;-28.170796647301223;0.0038185595685380005;0.0;0.003818559568538;0.003818559568538;0.003818559568538;0.003818559568538;0.0;0.001610361117666513;0.0009335056215812155;2.81586644e-07;0.003179129943714;2.81586644e-07;0.003179129943714;1128905.942381983;8.664472579956055;0.0;8.664472579956055;8.664472579956055;8.664472579956055;8.664472579956055;0.0;180.47164;discharge;;
7;7;1;8;1;5708.0;39.69256857397868;5640;5776;5640;5776;2.4113475177304964;169462.64993831626;2292.8841807950826;166228.6042166211;173428.59171115333;166228.6042166211;173428.59171115333;4.331376978386672;3234.0613171968384;2292.884180814817;0.015595382857855;7200.00309026898;0.015595382857855;7200.00309026898;46167430.197198845;-7.245263015090005e-05;2.3447191821775743e-09;-7.245784945553169e-05;-7.244650623761117e-05;-7.245784945553169e-05;-7.245406595757231e-05;0.00522165367562746;3.1427346911743608;0.039126186946835215;3.0093986988067627;3.173393726348877;3.0093986988067627;3.1291704177856445;3.979921936776664;0.0038185595685380005;0.0;0.003818559568538;0.003818559568538;0.003818559568538;0.003818559568538;0.0;0.0032442180789578248;4.614615993048384e-05;0.003179130257589;0.003324035817791;0.003179130257589;0.003324035817791;4.558025260402324;8.664472579956055;0.0;8.664472579956055;8.664472579956055;8.664472579956055;8.664472579956055;0.0;72.45263;discharge;;
8;8;1;9;1;5777.0;;5777;5777;5777;5777;0.0;173428.60297176786;;173428.60297176786;173428.60297176786;173428.60297176786;173428.60297176786;0.0;0.015562470006837;;0.015562470006837;0.015562470006837;0.015562470006837;0.015562470006837;0.0;-3.529569880811323e-07;;-3.529569880811323e-07;-3.529569880811323e-07;-3.529569880811323e-07;-3.529569880811323e-07;0.0;3.1331627368927;;3.1331627368927;3.1331627368927;3.1331627368927;3.1331627368927;0.0;0.003818559568538;;0.003818559568538;0.003818559568538;0.003818559568538;0.003818559568538;0.0;0.003324035819317;;0.003324035819317;0.003324035819317;0.003324035819317;0.003324035819317;0.0;12.113395690917969;;12.113395690917969;12.113395690917969;12.113395690917969;12.113395690917969;0.0;0.35296;ir;;
9;9;1;10;1;5787.5;5.916079783099616;5778;5797;5778;5797;0.3288335064035999;173799.23148729885;309.1335291753697;173428.94219825536;174328.60135347804;173428.94219825536;174328.60135347804;0.5187479920129069;370.6324587598438;309.133529120068;0.343169557099196;900.0023251336686;0.343169557099196;900.0023251336686;262161.7031479618;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.181532156467438;0.023518194385889084;3.138690710067749;3.213010549545288;3.138690710067749;3.213010549545288;2.367861198911659;0.0038185595685379997;0.0;0.003818559568538;0.003818559568538;0.003818559568538;0.003818559568538;0.0;0.003324035819317;0.0;0.003324035819317;0.003324035819317;0.003324035819317;0.003324035819317;0.0;12.113395690917969;0.0;12.113395690917969;12.113395690917969;12.113395690917969;12.113395690917969;0.0;0.0;ocvrlx_up;;
10;10;2;3;1;6089.0;168.4418791947735;5798;6380;5798;6380;10.037944118661608;205577.55691703712;19996.956761945734;174328.64212303856;240345.06828111084;174328.64212303856;240345.06828111084;37.86894990639511;31248.94602877312;19996.956761948226;0.031234649517066;66016.45739272182;0.031234649517066;66016.45739272182;211356385.2285335;0.000180846794400968;2.1776492385054525e-07;0.00017986759485211223;0.0001812728150980547;0.00017986759485211223;0.0001809215173125267;0.5859434887540516;3.772170003037101;0.22696636737119527;3.2194597721099854;4.200051784515381;3.2194597721099854;4.200051784515381;30.458278152757607;0.001569531240577933;0.0010044150001323443;1.558297e-09;0.003315843050973;1.558297e-09;0.003315843050973;212786233.4764169;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.113395690917969;0.0;12.113395690917969;12.113395690917969;12.113395690917969;12.113395690917969;0.0;180.84679;charge;;
