Today's Date:	14 December 2020	Date of Test:	11 December 2020, 12:22:12 PM
Filename:	M50_Validation_0deg_01	Tester Channel:	1
Procedure:	M50_Validation.000	Description:	
Rec#	Cyc#	Step	TestTime	StepTime	Amp-hr	Watt-hr	Amps	Volts	State	ES	DPt Time	ACImp/Ohms	DCIR/Ohms	Aux #1	 Units	Aux #2	 Units	Aux #3	 Units	Aux #4	 Units	Aux #5	 Units	Aux #6	 Units	Aux #7	 Units	Aux #8	 Units	Aux #9	 Units	Aux #10	 Units	Aux #11	 Units	Aux #12	 Units	Aux #13	 Units	Aux #14	 Units	Aux #15	 Units	Aux #16	 Units	VAR1	VAR2	VAR3	VAR4	VAR5	VAR6	VAR7	VAR8	VAR9	VAR10	VAR11	VAR12	VAR13	VAR14	VAR15	
1	0	1	  0d 00:00:0	  0d 00:00:0	0.00000	0.00000	0.00000	3.46250	R	0	12/11/2020 12:22:12	0.00000	0.00000	-2501.71411	 C  	-2526.14868	 C  	-2504.47607	 C  	-2530.44067	 C  	-2529.66528	 C  	-2501.96289	 C  	-2527.44531	 C  	-2522.97290	 C  	-2526.66553	 C  	-2496.17847	 C  	-2524.49707	 C  	-2533.96411	 C  	-2505.04785	 C  	-2514.50024	 C  	-2516.68506	 C  	-2541.54663	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
2	0	1	  0d 00:00:5	  0d 00:00:5	0.00000	0.00000	0.00000	3.46197	R	129	12/11/2020 12:22:17	0.00000	0.00000	-2501.84326	 C  	-2526.14868	 C  	-2504.47607	 C  	-2530.44067	 C  	-2529.53540	 C  	-2502.09155	 C  	-2527.44531	 C  	-2522.97290	 C  	-2526.79541	 C  	-2496.17847	 C  	-2524.49707	 C  	-2533.96411	 C  	-2505.04785	 C  	-2514.50024	 C  	-2516.68506	 C  	-2541.54663	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
3	0	2	  0d 00:00:5.05000019073486	  0d 00:00:0.0500000007450581	0.00000	0.00002	0.50401	3.41627	D	0	12/11/2020 12:22:17	0.00000	0.00000	-2501.84326	 C  	-2526.14868	 C  	-2504.47607	 C  	-2530.44067	 C  	-2529.53540	 C  	-2502.09155	 C  	-2527.44531	 C  	-2522.97290	 C  	-2526.79541	 C  	-2496.17847	 C  	-2524.49707	 C  	-2533.96411	 C  	-2505.04785	 C  	-2514.50024	 C  	-2516.68506	 C  	-2541.54663	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
4	0	2	  0d 00:00:9.3100004196167	  0d 00:00:4.30999994277954	0.00060	0.00203	0.50011	3.41115	D	5	12/11/2020 12:22:21	0.00000	0.00000	-2501.84326	 C  	-2526.14868	 C  	-2504.47607	 C  	-2530.44067	 C  	-2529.53540	 C  	-2502.09155	 C  	-2527.44531	 C  	-2522.97290	 C  	-2526.79541	 C  	-2496.17847	 C  	-2524.49707	 C  	-2533.96411	 C  	-2505.04785	 C  	-2514.50024	 C  	-2516.68506	 C  	-2541.54663	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
5	0	2	  0d 00:00:30.8799991607666	  0d 00:00:25.8799991607666	0.00359	0.01225	0.50004	3.40604	D	5	12/11/2020 12:22:43	0.00000	0.00000	-2501.84326	 C  	-2526.14868	 C  	-2504.60522	 C  	-2530.44067	 C  	-2529.53540	 C  	-2501.96289	 C  	-2527.57520	 C  	-2522.97290	 C  	-2526.79541	 C  	-2496.17847	 C  	-2524.49707	 C  	-2533.96411	 C  	-2505.04785	 C  	-2514.50024	 C  	-2516.68506	 C  	-2541.54663	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
6	0	2	  0d 00:01:0.879999995231628	  0d 00:00:55.8800010681152	0.00776	0.02643	0.49996	3.40116	D	1	12/11/2020 12:23:13	0.00000	0.00000	-2501.71411	 C  	-2526.14868	 C  	-2504.47607	 C  	-2530.44067	 C  	-2529.53540	 C  	-2501.96289	 C  	-2527.44531	 C  	-2522.97290	 C  	-2526.79541	 C  	-2496.17847	 C  	-2524.49707	 C  	-2533.96411	 C  	-2505.04785	 C  	-2514.50024	 C  	-2516.68506	 C  	-2541.54663	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
7	0	2	  0d 00:01:30.8799991607666	  0d 00:01:25.8799991607666	0.01193	0.04059	0.49996	3.39734	D	1	12/11/2020 12:23:43	0.00000	0.00000	-2501.84326	 C  	-2526.14868	 C  	-2504.47607	 C  	-2530.44067	 C  	-2529.53540	 C  	-2501.96289	 C  	-2527.44531	 C  	-2522.97290	 C  	-2526.79541	 C  	-2496.17847	 C  	-2524.36743	 C  	-2533.96411	 C  	-2505.04785	 C  	-2514.50024	 C  	-2516.68506	 C  	-2541.54663	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
8	0	2	  0d 00:02:0.879999995231628	  0d 00:01:55.8800010681152	0.01609	0.05474	0.50004	3.39406	D	1	12/11/2020 12:24:13	0.00000	0.00000	-2501.71411	 C  	-2526.14868	 C  	-2504.47607	 C  	-2530.44067	 C  	-2529.53540	 C  	-2501.96289	 C  	-2527.44531	 C  	-2522.97290	 C  	-2526.79541	 C  	-2496.17847	 C  	-2524.49707	 C  	-2533.96411	 C  	-2505.04785	 C  	-2514.50024	 C  	-2516.68506	 C  	-2541.54663	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
9	0	2	  0d 00:02:30.8799991607666	  0d 00:02:25.8799991607666	0.02026	0.06888	0.50011	3.39124	D	1	12/11/2020 12:24:43	0.00000	0.00000	-2501.84326	 C  	-2526.14868	 C  	-2504.47607	 C  	-2530.44067	 C  	-2529.53540	 C  	-2501.96289	 C  	-2527.44531	 C  	-2522.97290	 C  	-2526.79541	 C  	-2496.17847	 C  	-2524.36743	 C  	-2533.96411	 C  	-2505.04785	 C  	-2514.50024	 C  	-2516.68506	 C  	-2541.54663	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
10	0	2	  0d 00:03:0.879999995231628	  0d 00:02:55.8800010681152	0.02443	0.08300	0.50004	3.38872	D	1	12/11/2020 12:25:13	0.00000	0.00000	-2501.84326	 C  	-2526.14868	 C  	-2504.47607	 C  	-2530.44067	 C  	-2529.53540	 C  	-2501.96289	 C  	-2527.44531	 C  	-2522.97290	 C  	-2526.79541	 C  	-2496.17847	 C  	-2524.49707	 C  	-2533.96411	 C  	-2505.04785	 C  	-2514.50024	 C  	-2516.68506	 C  	-2541.54663	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
