Today''s Date	03/28/2022 12:50:27 PM

Date of Test:	08/23/2021 6:04:18 PM

Rec#	Cyc#	Step	TestTime	StepTime	mAmp-hr	mWatt-hr	mAmps	Volts	State	ES	DPt Time	Unnamed: 12
1	0	1	  0d 00:00:00.00	  0d 00:00:00.00	0.0	0.0	0.0	1853.8186	R	0	08/23/2021 6:04:18 PM	
2	0	1	  0d 00:01:00.00	  0d 00:01:00.00	0.0	0.0	0.0	1853.0556	R	1	08/23/2021 6:05:18 PM	
3	0	1	  0d 00:02:00.00	  0d 00:02:00.00	0.0	0.0	0.0	1853.0556	R	1	08/23/2021 6:06:18 PM	
4	0	1	  0d 00:03:00.00	  0d 00:03:00.00	0.0	0.0	0.0	1853.2082	R	1	08/23/2021 6:07:18 PM	
5	0	1	  0d 00:04:00.00	  0d 00:04:00.00	0.0	0.0	0.0	1853.0556	R	1	08/23/2021 6:08:18 PM	
6	0	1	  0d 00:05:00.00	  0d 00:05:00.00	0.0	0.0	0.0	1853.0556	R	1	08/23/2021 6:09:18 PM	
7	0	1	  0d 00:06:00.00	  0d 00:06:00.00	0.0	0.0	0.0	1853.2082	R	1	08/23/2021 6:10:18 PM	
8	0	1	  0d 00:07:00.00	  0d 00:07:00.00	0.0	0.0	0.0	1853.2082	R	1	08/23/2021 6:11:18 PM	
9	0	1	  0d 00:08:00.00	  0d 00:08:00.00	0.0	0.0	0.0	1852.903	R	1	08/23/2021 6:12:18 PM	
10	0	1	  0d 00:09:00.00	  0d 00:09:00.00	0.0	0.0	0.0	1853.2082	R	1	08/23/2021 6:13:18 PM	
11	0	1	  0d 00:10:00.00	  0d 00:10:00.00	0.0	0.0	0.0	1853.0556	R	1	08/23/2021 6:14:18 PM	
12	0	1	  0d 00:11:00.00	  0d 00:11:00.00	0.0	0.0	0.0	1853.2082	R	1	08/23/2021 6:15:18 PM	
13	0	1	  0d 00:12:00.00	  0d 00:12:00.00	0.0	0.0	0.0	1853.0556	R	1	08/23/2021 6:16:18 PM	
14	0	1	  0d 00:13:00.00	  0d 00:13:00.00	0.0	0.0	0.0	1853.2082	R	1	08/23/2021 6:17:18 PM	
15	0	1	  0d 00:14:00.00	  0d 00:14:00.00	0.0	0.0	0.0	1853.3608	R	1	08/23/2021 6:18:18 PM	
16	0	1	  0d 00:15:00.00	  0d 00:15:00.00	0.0	0.0	0.0	1853.2082	R	1	08/23/2021 6:19:18 PM	
17	0	1	  0d 00:16:00.00	  0d 00:16:00.00	0.0	0.0	0.0	1853.0556	R	1	08/23/2021 6:20:18 PM	
18	0	1	  0d 00:17:00.00	  0d 00:17:00.00	0.0	0.0	0.0	1853.2082	R	1	08/23/2021 6:21:18 PM	
19	0	1	  0d 00:18:00.00	  0d 00:18:00.00	0.0	0.0	0.0	1853.0556	R	1	08/23/2021 6:22:18 PM	
20	0	1	  0d 00:19:00.00	  0d 00:19:00.00	0.0	0.0	0.0	1853.2082	R	1	08/23/2021 6:23:18 PM	
21	0	1	  0d 00:20:00.00	  0d 00:20:00.00	0.0	0.0	0.0	1853.0556	R	1	08/23/2021 6:24:18 PM	
22	0	1	  0d 00:21:00.00	  0d 00:21:00.00	0.0	0.0	0.0	1853.0556	R	1	08/23/2021 6:25:18 PM	
23	0	1	  0d 00:22:00.00	  0d 00:22:00.00	0.0	0.0	0.0	1853.0556	R	1	08/23/2021 6:26:18 PM	
24	0	1	  0d 00:23:00.00	  0d 00:23:00.00	0.0	0.0	0.0	1853.2082	R	1	08/23/2021 6:27:18 PM	
25	0	1	  0d 00:24:00.00	  0d 00:24:00.00	0.0	0.0	0.0	1853.2082	R	1	08/23/2021 6:28:18 PM	
26	0	1	  0d 00:25:00.00	  0d 00:25:00.00	0.0	0.0	0.0	1853.2082	R	1	08/23/2021 6:29:18 PM	
27	0	1	  0d 00:26:00.00	  0d 00:26:00.00	0.0	0.0	0.0	1853.2082	R	1	08/23/2021 6:30:18 PM	
28	0	1	  0d 00:27:00.00	  0d 00:27:00.00	0.0	0.0	0.0	1853.3608	R	1	08/23/2021 6:31:18 PM	
29	0	1	  0d 00:28:00.00	  0d 00:28:00.00	0.0	0.0	0.0	1853.0556	R	1	08/23/2021 6:32:18 PM	
30	0	1	  0d 00:29:00.00	  0d 00:29:00.00	0.0	0.0	0.0	1853.2082	R	1	08/23/2021 6:33:18 PM	
31	0	1	  0d 00:30:00.00	  0d 00:30:00.00	0.0	0.0	0.0	1853.2082	R	1	08/23/2021 6:34:18 PM	
32	0	1	  0d 00:31:00.00	  0d 00:31:00.00	0.0	0.0	0.0	1853.2082	R	1	08/23/2021 6:35:18 PM	
33	0	1	  0d 00:32:00.00	  0d 00:32:00.00	0.0	0.0	0.0	1853.2082	R	1	08/23/2021 6:36:18 PM	
34	0	1	  0d 00:33:00.00	  0d 00:33:00.00	0.0	0.0	0.0	1853.2082	R	1	08/23/2021 6:37:18 PM	
35	0	1	  0d 00:34:00.00	  0d 00:34:00.00	0.0	0.0	0.0	1853.3608	R	1	08/23/2021 6:38:18 PM	
36	0	1	  0d 00:35:00.00	  0d 00:35:00.00	0.0	0.0	0.0	1853.2082	R	1	08/23/2021 6:39:18 PM	
37	0	1	  0d 00:36:00.00	  0d 00:36:00.00	0.0	0.0	0.0	1853.0556	R	1	08/23/2021 6:40:18 PM	
38	0	1	  0d 00:37:00.00	  0d 00:37:00.00	0.0	0.0	0.0	1853.2082	R	1	08/23/2021 6:41:18 PM	
39	0	1	  0d 00:38:00.00	  0d 00:38:00.00	0.0	0.0	0.0	1853.2082	R	1	08/23/2021 6:42:18 PM	
