Name:	KIT-SIMBA-013-2.081
Channel:	81
Tester	Maccor #4
Procedure	SIMBA.000
Description	SIMBA-Capacity_test
Started	06/05/2021 11:23:46
SCap	0,017
C Rate	0,003
Ch. max. V	6,00 V
DisCh. min. V	0,00 V
Ch. max. I	5,000 A
DisCh. max. I	5,000 A

Rec	Cycle P	Cycle C	Step	TestTime	StepTime	Cap. [Ah]	Ener. [Wh]	Current [A]	Voltage [V]	Md	ES	DPT Time	VAR1	VAR2	VAR3	VAR4	VAR5	VAR6	VAR7	VAR8	VAR9	VAR10	VAR11	VAR12	VAR13	VAR14	VAR15

1	0	1	1	0,000000	0,000000	0,00000000	0,00000000	0,00000000	0,1377	R	0	06/05/2021 11:23:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
2	0	1	1	1,000000	1,000000	0,00000000	0,00000000	0,00000000	0,1385	R	1	06/05/2021 11:24:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
3	0	1	1	2,000000	2,000000	0,00000000	0,00000000	0,00000000	0,1394	R	1	06/05/2021 11:25:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
4	0	1	1	3,000000	3,000000	0,00000000	0,00000000	0,00000000	0,1403	R	1	06/05/2021 11:26:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
5	0	1	1	4,000000	4,000000	0,00000000	0,00000000	0,00000000	0,1409	R	1	06/05/2021 11:27:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
6	0	1	1	5,000000	5,000000	0,00000000	0,00000000	0,00000000	0,1416	R	1	06/05/2021 11:28:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
7	0	1	1	6,000000	6,000000	0,00000000	0,00000000	0,00000000	0,1421	R	1	06/05/2021 11:29:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
8	0	1	1	7,000000	7,000000	0,00000000	0,00000000	0,00000000	0,1425	R	1	06/05/2021 11:30:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
9	0	1	1	8,000000	8,000000	0,00000000	0,00000000	0,00000000	0,1430	R	1	06/05/2021 11:31:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
10	0	1	1	9,000000	9,000000	0,00000000	0,00000000	0,00000000	0,1434	R	1	06/05/2021 11:32:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
11	0	1	1	10,000000	10,000000	0,00000000	0,00000000	0,00000000	0,1436	R	1	06/05/2021 11:33:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
