Request Year:,2019
Test:,187
Test Description:,
TestRegime Name:,FirstCell dQdV C/25
TestRegime Suffix:,HWL
TestRegime CellSize:,Default cellsize
TestRegime Version:,1
Project Group Name:,Immediate
Project Group Description:,Immediate
Project Group Memo:,
Project Group Storage Environment:,R.T./AMB
Project Group Test Environment:,R.T./AMB
Number Of Cells:,1
Parameter names:,
Parameter values:,
Variable names:
LotID:,
Lot Description:,
Date Made:,1/21/2003 0:00
Origin:,Other
Requestor:,Admin
Product ID:,Default product
Storage Temp:,R.T./AMB
Storage Delay:,0 days
Test Temp:,R.T./AMB
Start Time:,02/22/2019 16:21:35
End Time:,1/1/0001 0:00
Operator Instructions:,Also connect cell temp to channel TC-K and ambient temp to NTC
#RESULTS CHECK
ReqYear,Test,CellNr,Type,Value,Reason,
2019,187,1,1,3272,3,
#END RESULTS CHECK
Test,Cell,Rack,Shelf,Position,Cell ID,Step,Cycle,Total Time (Seconds),Load On Time (Seconds),Step Time (Seconds),Cycle Charge Time (Seconds),Cycle Discharge Time (Seconds),Real Time,Position Start Time,Voltage (mV),Current (mA),Charge Capacity (mAh),Discharge Capacity (mAh),Charge Capacity (mWh),Discharge Capacity (mWh),ReasonCode,50% DoD (mV),PeakPower 1 (W),PeakPower 2 (W),Open Circuit Voltage 1 (V),Open Circuit Voltage 2 (V),Internal Resistance 1 (mOhm),Internal Resistance 2 (mOhm),Ambient temperature (°C),Cell surface temperature (°C),DC Internal Resistance (mOhm),AC Internal Resistance (mOhm),Station Temperature (°C),
187,1,SBT0550,001,1,,0,0,1,0,1,0,0,02/22/2019 16:23:27,02/22/2019 16:23:26,3272.632,0,0,0,0,0,30,0,0,0,0,0,0,0,25.83,24.9,,,,
187,1,SBT0550,001,1,,0,0,5,0,5,0,0,02/22/2019 16:23:31,02/22/2019 16:23:26,3272.2776,0,0,0,0,0,30,0,0,0,0,0,0,0,25.83,24.9,,,,
187,1,SBT0550,001,1,,0,0,10,0,10,0,0,02/22/2019 16:23:36,02/22/2019 16:23:26,3272.5264,0,0,0,0,0,30,0,0,0,0,0,0,0,25.83,24.9,,,,
187,1,SBT0550,001,1,,0,0,15,0,15,0,0,02/22/2019 16:23:41,02/22/2019 16:23:26,3272.4768,0,0,0,0,0,30,0,0,0,0,0,0,0,25.82,24.9,,,,
187,1,SBT0550,001,1,,0,0,20,0,20,0,0,02/22/2019 16:23:46,02/22/2019 16:23:26,3272.3204,-0.1,0,0,0,0,3,0,0,0,0,0,0,0,25.83,24.9,,,,
187,1,SBT0550,001,1,,1,0,30.185,0.002,0.002,0,0,02/22/2019 16:23:56,02/22/2019 16:23:26,3269.2348,-1633.9,0,0,0,0.001,5,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,31.183,1,1,0,1,02/22/2019 16:23:57,02/22/2019 16:23:26,3268.6792,-1640.1,0,0.455,0,1.487,30,0,0,0,0,0,0,0,25.83,25,,,,
187,1,SBT0550,001,1,,1,0,51.183,21,21,0,21,02/22/2019 16:24:17,02/22/2019 16:23:26,3264.974,-1639.8,0,9.565,0,31.247,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,71.183,41,41,0,41,02/22/2019 16:24:37,02/22/2019 16:23:26,3262.6016,-1640.1,0,18.676,0,60.982,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,90.183,60,60,0,60,02/22/2019 16:24:56,02/22/2019 16:23:26,3260.9196,-1640.1,0,27.331,0,89.213,30,0,0,0,0,0,0,0,25.83,25,,,,
187,1,SBT0550,001,1,,1,0,110.183,80,80,0,80,02/22/2019 16:25:16,02/22/2019 16:23:26,3259.3776,-1640.2,0,36.442,0,118.914,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,130.183,100,100,0,100,02/22/2019 16:25:36,02/22/2019 16:23:26,3257.8404,-1639.8,0,45.553,0,148.602,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,150.183,120,120,0,120,02/22/2019 16:25:56,02/22/2019 16:23:26,3256.4166,-1639.9,0,54.664,0,178.277,30,0,0,0,0,0,0,0,25.83,25,,,,
187,1,SBT0550,001,1,,1,0,170.183,140,140,0,140,02/22/2019 16:26:16,02/22/2019 16:23:26,3255.1976,-1640.1,0,63.775,0,207.939,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,190.183,160,160,0,160,02/22/2019 16:26:36,02/22/2019 16:23:26,3254.1396,-1639.8,0,72.885,0,237.592,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,210.183,180,180,0,180,02/22/2019 16:26:56,02/22/2019 16:23:26,3253.208,-1639.9,0,81.996,0,267.235,30,0,0,0,0,0,0,0,25.82,25,,,,
187,1,SBT0550,001,1,,1,0,230.183,200,200,0,200,02/22/2019 16:27:16,02/22/2019 16:23:26,3252.364,-1639.9,0,91.107,0,296.871,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,250.183,220,220,0,220,02/22/2019 16:27:36,02/22/2019 16:23:26,3251.7214,-1639.9,0,100.218,0,326.499,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,270.183,240,240,0,240,02/22/2019 16:27:56,02/22/2019 16:23:26,3250.8018,-1639.9,0,109.328,0,356.121,30,0,0,0,0,0,0,0,25.82,25.1,,,,
187,1,SBT0550,001,1,,1,0,290.183,260,260,0,260,02/22/2019 16:28:16,02/22/2019 16:23:26,3250.1948,-1639.8,0,118.439,0,385.735,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,310.183,280,280,0,280,02/22/2019 16:28:36,02/22/2019 16:23:26,3249.2908,-1639.9,0,127.55,0,415.342,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,330.183,300,300,0,300,02/22/2019 16:28:56,02/22/2019 16:23:26,3248.7128,-1639.8,0,136.661,0,444.943,30,0,0,0,0,0,0,0,25.81,25.1,,,,
187,1,SBT0550,001,1,,1,0,350.183,320,320,0,320,02/22/2019 16:29:16,02/22/2019 16:23:26,3248.43,-1639.8,0,145.772,0,474.539,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,370.183,340,340,0,340,02/22/2019 16:29:36,02/22/2019 16:23:26,3247.7058,-1640,0,154.882,0,504.132,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,390.183,360,360,0,360,02/22/2019 16:29:56,02/22/2019 16:23:26,3247.2378,-1639.8,0,163.993,0,533.719,30,0,0,0,0,0,0,0,25.82,25,,,,
187,1,SBT0550,001,1,,1,0,410.183,380,380,0,380,02/22/2019 16:30:16,02/22/2019 16:23:26,3246.6184,-1640,0,173.104,0,563.301,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,430.183,400,400,0,400,02/22/2019 16:30:36,02/22/2019 16:23:26,3246.0406,-1639.8,0,182.215,0,592.877,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,450.183,420,420,0,420,02/22/2019 16:30:56,02/22/2019 16:23:26,3245.8288,-1640.1,0,191.325,0,622.45,30,0,0,0,0,0,0,0,25.81,25.1,,,,
187,1,SBT0550,001,1,,1,0,470.183,440,440,0,440,02/22/2019 16:31:16,02/22/2019 16:23:26,3245.4098,-1639.9,0,200.436,0,652.02,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,490.183,460,460,0,460,02/22/2019 16:31:36,02/22/2019 16:23:26,3245.056,-1640.1,0,209.547,0,681.587,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,510.183,480,480,0,480,02/22/2019 16:31:56,02/22/2019 16:23:26,3244.5268,-1639.6,0,218.658,0,711.15,30,0,0,0,0,0,0,0,25.81,25.1,,,,
187,1,SBT0550,001,1,,1,0,530.183,500,500,0,500,02/22/2019 16:32:16,02/22/2019 16:23:26,3244.288,-1640,0,227.768,0,740.709,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,550.183,520,520,0,520,02/22/2019 16:32:36,02/22/2019 16:23:26,3243.9826,-1639.8,0,236.879,0,770.264,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,570.183,540,540,0,540,02/22/2019 16:32:56,02/22/2019 16:23:26,3243.4792,-1640.1,0,245.99,0,799.816,30,0,0,0,0,0,0,0,25.8,25.1,,,,
187,1,SBT0550,001,1,,1,0,590.183,560,560,0,560,02/22/2019 16:33:16,02/22/2019 16:23:26,3243.367,-1639.8,0,255.101,0,829.366,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,610.183,580,580,0,580,02/22/2019 16:33:36,02/22/2019 16:23:26,3243.0322,-1640.1,0,264.212,0,858.913,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,630.183,600,600,0,600,02/22/2019 16:33:56,02/22/2019 16:23:26,3242.713,-1639.9,0,273.322,0,888.458,30,0,0,0,0,0,0,0,25.8,25.1,,,,
187,1,SBT0550,001,1,,1,0,650.183,620,620,0,620,02/22/2019 16:34:16,02/22/2019 16:23:26,3242.5936,-1639.9,0,282.433,0,918.002,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,670.183,640,640,0,640,02/22/2019 16:34:36,02/22/2019 16:23:26,3242.0286,-1640.1,0,291.544,0,947.542,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,1,0,690.183,660,660,0,660,02/22/2019 16:34:56,02/22/2019 16:23:26,3242.0158,-1640.1,0,300.655,0,977.081,30,0,0,0,0,0,0,0,25.8,25.1,,,,
187,1,SBT0550,001,1,,1,0,710.183,680,680,0,680,02/22/2019 16:35:16,02/22/2019 16:23:26,3241.7986,-1640,0,309.765,0,1006.617,2,0,0,0,0,0,0,0,,,,,,
