Cycle Index,Chg. Cap.(Ah),DChg. Cap.(Ah),Chg.-DChg. Eff(%),Chg. Energy(Wh),DChg. Energy(Wh),Chg. Time,DChg. Time
,Step Index,Step Number,Step Type,Step Time,Capacity(Ah),Energy(Wh),Oneset Volt.(V),End Voltage(V),V1 Oneset Volt.(V),V1 End Voltage(V),T1 Oneset T(?),T1 End T(?),CPU1 Oneset T(?),CPU1 End T(?)
,,DataPoint,Time,Total Time,Current(A),Voltage(V),Capacity(Ah),Energy(Wh),Date,Power(W),V1(V),T1(?),CPU(?),Aux. Vmax(V),Aux. Vmin(V),Aux.Ave.Volt.(V),Aux. ?V(V),Aux. Tmax(?),Aux. Tmin(?),Aux.Ave.T(?),Aux. ?T(?)
1,0.02256,0.33067,1465.46,0.10243,1.34319,00:02:51,00:41:50,1,1,Rest,00:00:20,0.00000,0.00000,4.3185,4.3186,0.0000,0.0000,26.61,26.61,25.36,24.98
,,1,00:00:00,00:00:00,0.00000,4.3185,0.000000000,0.00000,2026-03-06 12:37:25,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,2,00:00:02,00:00:02,0.00000,4.3186,0.000000000,0.00000,2026-03-06 12:37:27,0.00000,0.0000,26.61,25.17,0.0000,0.0000,0.0000,0.0000,26.61,25.17,25.89,1.44
,,3,00:00:04,00:00:04,0.00000,4.3186,0.000000000,0.00000,2026-03-06 12:37:29,0.00000,0.0000,26.61,25.17,0.0000,0.0000,0.0000,0.0000,26.61,25.17,25.89,1.44
,,4,00:00:06,00:00:06,0.00000,4.3187,0.000000000,0.00000,2026-03-06 12:37:31,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,5,00:00:08,00:00:08,0.00000,4.3186,0.000000000,0.00000,2026-03-06 12:37:33,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,6,00:00:10,00:00:10,0.00000,4.3187,0.000000000,0.00000,2026-03-06 12:37:35,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,7,00:00:12,00:00:12,0.00000,4.3186,0.000000000,0.00000,2026-03-06 12:37:37,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,8,00:00:14,00:00:14,0.00000,4.3186,0.000000000,0.00000,2026-03-06 12:37:39,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,9,00:00:16,00:00:16,0.00000,4.3186,0.000000000,0.00000,2026-03-06 12:37:41,0.00000,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,10,00:00:18,00:00:18,0.00000,4.3187,0.000000000,0.00000,2026-03-06 12:37:43,0.00000,0.0000,26.61,25.73,0.0000,0.0000,0.0000,0.0000,26.61,25.73,26.17,0.88
,,11,00:00:20,00:00:20,0.00000,4.3186,0.000000000,0.00000,2026-03-06 12:37:45,0.00000,0.0000,26.61,24.98,0.0000,0.0000,0.0000,0.0000,26.61,24.98,25.79,1.63
,2,2,CC Chg,00:02:51,0.02256,0.10243,4.3734,4.7000,0.0000,0.0000,26.61,26.61,25.17,24.98
,,12,00:00:00,00:00:20,0.50000,4.3734,0.000000000,0.00000,2026-03-06 12:37:45,2.18670,0.0000,26.61,25.17,0.0000,0.0000,0.0000,0.0000,26.61,25.17,25.89,1.44
,,13,00:00:30,00:00:50,0.47417,4.4530,0.003952875,0.01751,2026-03-06 12:38:15,2.11148,0.0000,26.61,25.17,0.0000,0.0000,0.0000,0.0000,26.61,25.17,25.89,1.44
,,14,00:00:46,00:01:06,0.47417,4.4736,0.006060310,0.02691,2026-03-06 12:38:31,2.12126,0.0000,26.61,25.54,0.0000,0.0000,0.0000,0.0000,26.61,25.54,26.07,1.07
,,15,00:01:00,00:01:20,0.47417,4.4921,0.007904319,0.03518,2026-03-06 12:38:45,2.13005,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,16,00:01:30,00:01:50,0.47417,4.5379,0.011855760,0.05302,2026-03-06 12:39:15,2.15174,0.0000,26.61,25.36,0.0000,0.0000,0.0000,0.0000,26.61,25.36,25.98,1.25
,,17,00:01:51,00:02:11,0.47418,4.5736,0.014621760,0.06562,2026-03-06 12:39:36,2.16870,0.0000,26.61,25.17,0.0000,0.0000,0.0000,0.0000,26.61,25.17,25.89,1.44
