Test_ID;Data_Point;Test_Time;Step_Time;DateTime;Step_Index;Cycle_Index;Is_FC_Data;Current;Voltage;Charge_Capacity;Discharge_Capacity;Charge_Energy;Discharge_Energy;dV/dt;Internal_Resistance;AC_Impedance;ACI_Phase_Angle
1;1;300,0104819;300,0104819;42587,68152;1;1;0;0;3,097617;0;0;0;0;-0,000123119;0;0;0
1;2;600,0149465;600,0149465;42587,68499;1;1;0;0;3,10008;0;0;0;0;-6,16074E-05;0;0;0
1;3;900,0263711;900,0263714;42587,68846;1;1;0;0;3,101312;0;0;0;0;-0,000123167;0;0;0
1;4;1200,039773;1200,039773;42587,69193;1;1;0;0;3,102852;0;0;0;0;6,16074E-05;0;0;0
1;5;1500,051275;1500,051275;42587,69541;1;1;0;0;3,10316;0;0;0;0;0;0;0;0
1;6;1800,062628;1800,062629;42587,69888;1;1;0;0;3,102236;0;0;0;0;-6,15597E-05;0;0;0
1;7;2100,065036;2100,065036;42587,70235;1;1;0;0;3,102544;0;0;0;0;-6,16074E-05;0;0;0
1;8;2400,068446;2400,068446;42587,70582;1;1;0;0;3,103468;0;0;0;0;-6,15597E-05;0;0;0
1;9;2700,082861;2700,082861;42587,70929;1;1;0;0;3,104699;0;0;0;0;0;0;0;0
1;10;3000,090319;3000,090319;42587,71277;1;1;0;0;3,105931;0;0;0;0;0,000184774;0;0;0
1;11;3300,094716;3300,094717;42587,71624;1;1;0;0;3,106547;0;0;0;0;6,15597E-05;0;0;0
1;12;3600,104104;3600,104104;42587,71971;1;1;0;0;3,105623;0;0;0;0;6,15597E-05;0;0;0
1;13;3900,119507;3900,119508;42587,72318;1;1;0;0;3,104699;0;0;0;0;0;0;0;0
1;14;4200,129947;4200,129947;42587,72667;1;1;0;0;3,104084;0;0;0;0;0;0;0;0
1;15;4500,136269;4500,136269;42587,73014;1;1;0;0;3,104084;0;0;0;0;0,000123167;0;0;0
1;16;4800,150819;4800,150819;42587,73361;1;1;0;0;3,102544;0;0;0;0;-0,000123167;0;0;0
1;17;5100,161197;5100,161197;42587,73708;1;1;0;0;3,103468;0;0;0;0;0;0;0;0
1;18;5400,17261;5400,17261;42587,74056;1;1;0;0;3,104699;0;0;0;0;0;0;0;0
1;19;5700,186025;5700,186026;42587,74403;1;1;0;0;3,105315;0;0;0;0;0;0;0;0
1;20;6000,191478;6000,191478;42587,7475;1;1;0;0;3,104699;0;0;0;0;6,16074E-05;0;0;0
1;21;6300,20691;6300,20691;42587,75097;1;1;0;0;3,103468;0;0;0;0;0;0;0;0
1;22;6600,213277;6600,213277;42587,75444;1;1;0;0;3,103468;0;0;0;0;0;0;0;0
1;23;6900,218705;6900,218705;42587,75792;1;1;0;0;3,103468;0;0;0;0;0;0;0;0
